date,close,ret_1d,ret_5d,ret_20d,rsi_14,macd_hist,natr_14,bb_position,mvrv_zscore,nupl,nvt,puell,sopr,ntv_ratio,funding_rate,cot_net_frac,dvol,month_sin,month_cos,weekday,y_logret_fwd1
2024-09-23,63339.99,-0.0037625690717466927,0.025261139432954063,0.09694534950456998,62.145418395676046,674.3149445937613,3.4647093876598296,0.5906665464599774,1.7511,0.4992,194.78,0.797,1.0072,-0.007513976359939689,4.4046666666666666e-05,-0.8291145024216394,50.45,-1.0,-1.8369701987210297e-16,0,0.01446248637939056
2024-09-24,64262.7,0.01446248637939056,0.020670539734430816,0.10303820910893582,64.7441245850762,649.1833597589355,3.3920038413470204,0.6877465608009379,1.8043,0.5061,197.36,0.775,1.016,-0.00026947398283590446,1.679e-05,-0.8214677369829364,51.52,-1.0,-1.8369701987210297e-16,1,-0.017434692343162504
2024-09-25,63152.01,-0.017434692343162504,-0.000776237670261406,0.11698385559249368,59.45325915968793,522.7113814989277,3.4167244448517433,0.3874146279471027,1.7302,0.4966,193.0,0.722,1.0139,-0.03131582494827326,1.2333333333333333e-05,-0.8214677369829364,49.75,-1.0,-1.8369701987210297e-16,2,0.03151578569135097
2024-09-26,65173.99,0.03151578569135097,0.02840197305998902,0.1887623923641334,65.05229992209142,538.0793939547204,3.4215547074298276,0.7726366671842462,1.8373,0.5117,198.83,0.769,1.0126,0.02192701485738079,5.965333333333333e-05,-0.8214677369829364,52.38,-1.0,-1.8369701987210297e-16,3,0.009102584128001627
2024-09-27,65769.95,0.009102584128001627,0.03388359478383414,0.1942045397325922,66.51977581235701,549.312691348202,3.330616619774465,0.766743797005291,1.8734,0.5157,200.35,0.724,1.0159,0.018488085951441656,6.332333333333334e-05,-0.8214677369829364,51.91,-1.0,-1.8369701987210297e-16,4,0.0013378619530761801
2024-09-28,65858.0,0.0013378619530761801,0.03898402580865709,0.1825350692153117,66.74197667497756,523.6999370641054,3.1794438154520357,0.6742711882550474,1.871,0.516,201.05,0.867,1.0053,-0.022191076372810637,5.056333333333334e-05,-0.8214677369829364,52.6,-1.0,-1.8369701987210297e-16,5,-0.003894573316477157
2024-09-29,65602.01,-0.003894573316477157,0.020626966112789295,0.13981849711959468,65.38334160926615,453.18600716778246,3.0339940807720915,0.5514806909273753,1.8607,0.5139,200.79,0.739,1.0015,0.0008901554364049794,3.702e-05,-0.8214677369829364,54.02,-1.0,-1.8369701987210297e-16,6,-0.03528524055475455
2024-09-30,63327.59,-0.03528524055475455,0.0027764179011971336,0.09417389620178793,54.72433778477557,228.38095724202185,3.230051670717038,-0.11969348599221519,1.7294,0.4962,193.41,0.815,0.9991,-0.04141055204638102,7.005333333333334e-05,-0.8214677369829364,54.21,-1.0,-1.8369701987210297e-16,0,-0.04063624492665931
2024-10-01,60805.78,-0.04063624492665931,-0.06937561271681313,0.05872127006137032,45.80747233274857,-97.6545036627499,3.589685814250114,-1.0188709229189403,1.5966,0.4754,187.01,0.802,0.9966,-0.059873013412763576,0.0001,-0.7620173364854216,56.64,-0.8660254037844386,0.5000000000000001,1,-0.002577086316775542
2024-10-02,60649.28,-0.002577086316775542,-0.0810552831615903,0.04238597246416971,45.3140135405107,-318.87677462965326,3.623395266045995,-0.9579427036858724,1.5864,0.4742,187.43,0.818,0.9981,0.011082896010314007,7.744e-05,-0.7620173364854216,56.35,-0.8660254037844386,0.5000000000000001,2,0.001703926352847916
2024-10-03,60752.71,0.001703926352847916,-0.08068921876181868,0.00420138364006824,45.73010653005481,-445.4924216882114,3.5527399077979687,-0.7918670260850623,1.59,0.4751,188.72,0.893,1.0075,-0.004373943505118131,4.3723333333333335e-05,-0.7620173364854216,57.45,-0.8660254037844386,0.5000000000000001,3,0.02170883041003728
2024-10-04,62086.0,0.02170883041003728,-0.05508581503530416,0.03429213188167465,50.91484976078257,-426.67090890898066,3.4610937193229643,-0.3747588361733898,1.6587,0.4862,192.58,0.797,1.0041,0.004483324823528801,3.153e-05,-0.7620173364854216,55.53,-0.8660254037844386,0.5000000000000001,4,-0.00045108906551724495
