date,target_up,next_return,pred_up,prob_up,stage,model_type,position,turnover,cost,strategy_return,buy_hold_return,strategy_equity,buy_hold_equity
2025-06-16,0,-0.020559056941174436,0,0.4484670873419671,M2_NTV_plus_BTC_market,logistic,-1,0.0,0.0,0.020559056941174436,-0.020559056941174436,0.745964313875736,1.7808304339351169
2025-06-17,1,0.0026979724986506692,1,0.5089460433349442,M2_NTV_plus_BTC_market,logistic,0,1.0,0.0005,-0.0005,0.0026979724986506692,0.7455913317187982,1.7856350654706339
2025-06-18,0,-0.0018977187896134229,0,0.4674843424615104,M2_NTV_plus_BTC_market,logistic,0,0.0,0.0,-0.0,-0.0018977187896134229,0.7455913317187982,1.7822464322554976
2025-06-19,0,-0.013131746055793259,0,0.47476671883320243,M2_NTV_plus_BTC_market,logistic,0,0.0,0.0,-0.0,-0.013131746055793259,0.7455913317187982,1.7588424246982748
2025-06-20,0,-0.010184874363913243,0,0.428207925231842,M2_NTV_plus_BTC_market,logistic,-1,1.0,0.0005,0.009684874363913243,-0.010184874363913243,0.7528122900933176,1.7409288355768022
2025-06-21,0,-0.012422235919953284,0,0.4868333778450239,M2_NTV_plus_BTC_market,logistic,0,1.0,0.0005,-0.0005,-0.012422235919953284,0.752435883948271,1.7193026068614177
2025-06-22,1,0.04545759771084712,0,0.4767366101301419,M2_NTV_plus_BTC_market,logistic,0,0.0,0.0,0.0,0.04545759771084712,0.752435883948271,1.7974579731073348
2025-06-23,1,0.004431419225533917,0,0.3612626121754645,M2_NTV_plus_BTC_market,logistic,-1,1.0,0.0005,-0.004931419225533917,0.004431419225533917,0.748725307164187,1.805423262926452
2025-06-24,1,0.012406215749838134,0,0.41908506070386026,M2_NTV_plus_BTC_market,logistic,-1,0.0,0.0,-0.012406215749838134,0.012406215749838134,0.7394364594661442,1.8278217334460942
2025-06-25,0,-0.003737454466123835,0,0.4018799367040531,M2_NTV_plus_BTC_market,logistic,-1,0.0,0.0,0.003737454466123835,-0.003737454466123835,0.7422000695639909,1.820990332945148
