https://www.CryptoDataDownload.com
Date,Total Supply,Marketcap
2024-01-08,19593237.5,920784196313.0
2024-01-07,19592468.75,860971446750.0
2024-01-06,19591731.25,862016583269.0
2024-01-05,19590856.25,865602392550.0
2024-01-04,19589993.75,865603463838.0
2024-01-03,19588931.25,839679538032.0
2024-01-02,19587943.75,880869830438.0
2024-01-01,19587125.0,865496292375.0
2023-12-31,19586156.25,827671790813.0
2023-12-30,19585181.25,825476219325.0
2023-12-29,19584275.0,823949617800.0
2023-12-28,19583331.25,833916994619.0
2023-12-27,19582575.0,851313282975.0
2023-12-26,19581768.75,832420989563.0
2023-12-25,19580900.0,853551011900.0
2023-12-24,19580031.25,842587484782.0
2023-12-23,19578962.5,856246767013.0
2023-12-22,19577962.5,861469505925.0
2023-12-21,19576912.5,858897882113.0
2023-12-20,19576000.0,854786040000.0
2023-12-19,19575093.75,827204311688.0
2023-12-18,19574081.25,834834565313.0
2023-12-17,19573031.25,809246977032.0
2023-12-16,19572093.75,826842672563.0
2023-12-15,19571143.75,820520201719.0
2023-12-14,19570125.0,842122048875.0
2023-12-13,19569212.5,839284385700.0
2023-12-12,19568281.25,811261804063.0
2023-12-11,19567381.25,806997937513.0
2023-12-10,19566393.75,856734116738.0
2023-12-09,19565518.75,855247955600.0
2023-12-08,19564537.5,864615605738.0
2023-12-07,19563693.75,846931866132.0
2023-12-06,19562975.0,856154037900.0
2023-12-05,19562125.0,862200659375.0
2023-12-04,19561262.5,821279606063.0
2023-12-03,19560293.75,782196586769.0
2023-12-02,19559262.5,772082327925.0
2023-12-01,19558468.75,757049649907.0
2023-11-30,19557412.5,737686042088.0
2023-11-29,19556575.0,740470599225.0
2023-11-28,19555725.0,739969078275.0
2023-11-27,19554806.25,728220984750.0
2023-11-26,19553993.75,732492605875.0
2023-11-25,19553081.25,739282448982.0
2023-11-24,19552087.5,738013094775.0
2023-11-23,19551037.5,729273249788.0
2023-11-22,19550118.75,731643644100.0
2023-11-21,19549231.25,699041411038.0
2023-11-20,19548281.25,732669581250.0
2023-11-19,19547243.75,731575144588.0
2023-11-18,19546181.25,715194771938.0
2023-11-17,19545250.0,715844781250.0
2023-11-16,19544312.5,706820061563.0
2023-11-15,19543387.5,740244888338.0
2023-11-14,19542462.5,695008136350.0
2023-11-13,19541600.0,712975276000.0
2023-11-12,19540843.75,724691731313.0
2023-11-11,19539837.5,725944042800.0
2023-11-10,19538837.5,729169876663.0
2023-11-09,19537875.0,716903247375.0
2023-11-08,19536981.25,696298011750.0
2023-11-07,19536050.0,691849674700.0
2023-11-06,19535218.75,684553135438.0
2023-11-05,19534425.0,684583924125.0
2023-11-04,19533406.25,685349091688.0
2023-11-03,19532356.25,678300135494.0
2023-11-02,19531506.25,682372233857.0
2023-11-01,19530606.25,692164685500.0
2023-10-31,19529675.0,676918065175.0
2023-10-30,19528706.25,673642722094.0
2023-10-29,19527731.25,674448781913.0
2023-10-28,19526875.0,665690695625.0
2023-10-27,19525875.0,662044317750.0
2023-10-26,19524912.5,667068635563.0
2023-10-25,19523975.0,673538089550.0
2023-10-24,19523075.0,662164134775.0
2023-10-23,19522287.5,645680136775.0
2023-10-22,19521306.25,585678230113.0
2023-10-21,19520350.0,584185514450.0
2023-10-20,19519412.5,579492318300.0
2023-10-19,19518575.0,560827215475.0
2023-10-18,19517700.0,552897405600.0
2023-10-17,19516793.75,554433076850.0
2023-10-16,19515781.25,556551049688.0
2023-10-15,19514900.0,530297892600.0
2023-10-14,19513856.25,524044609594.0
2023-10-13,19512943.75,524254259732.0
2023-10-12,19512081.25,522065245925.0
2023-10-11,19511050.0,524339957700.0
2023-10-10,19510050.0,534477819750.0
2023-10-09,19509037.5,538332380775.0
2023-10-08,19508062.5,544918709813.0
2023-10-07,19507137.5,545634143013.0
2023-10-06,19506068.75,545155609425.0
2023-10-05,19505068.75,534770469919.0
2023-10-04,19504187.5,542021370625.0
2023-10-03,19503368.75,535074921657.0
2023-10-02,19502343.75,536450969532.0
2023-10-01,19501362.5,545940643188.0
2023-09-30,19500481.25,525849977388.0
2023-09-29,19499618.75,524754240182.0
2023-09-28,19498700.0,526971866200.0
2023-09-27,19497787.5,513981176288.0
2023-09-26,19496806.25,510972298200.0
2023-09-25,19495956.25,512685161507.0
2023-09-24,19495050.0,511706072400.0
2023-09-23,19494137.5,518212657163.0
2023-09-22,19493162.5,518147752413.0
2023-09-21,19492356.25,517775459069.0
2023-09-20,19491493.75,528765242450.0
2023-09-19,19490581.25,530416678138.0
2023-09-18,19489712.5,521739603625.0
