,Unix,Date,Symbol,funding_interval_hours,last_funding_rate
280,1743235200000,2025-03-29T08:00:00,BTCUSDT,8,8.214e-05
281,1743206400000,2025-03-29T00:00:00,BTCUSDT,8,5.364e-05
282,1743177600000,2025-03-28T16:00:00,BTCUSDT,8,8.118e-05
283,1743148800001,2025-03-28T08:00:00,BTCUSDT,8,-4.57e-06
284,1743120000001,2025-03-28T00:00:00,BTCUSDT,8,1.584e-05
285,1743091200002,2025-03-27T16:00:00,BTCUSDT,8,-3.76e-05
286,1743062400001,2025-03-27T08:00:00,BTCUSDT,8,5.512e-05
287,1743033600001,2025-03-27T00:00:00,BTCUSDT,8,3.136e-05
288,1743004800001,2025-03-26T16:00:00,BTCUSDT,8,-3.082e-05
289,1742976000000,2025-03-26T08:00:00,BTCUSDT,8,1.659e-05
290,1742947200000,2025-03-26T00:00:00,BTCUSDT,8,-2.99e-05
291,1742918400000,2025-03-25T16:00:00,BTCUSDT,8,-3.776e-05
292,1742889600000,2025-03-25T08:00:00,BTCUSDT,8,1.15e-05
293,1742860800001,2025-03-25T00:00:00,BTCUSDT,8,-2.47e-06
294,1742832000000,2025-03-24T16:00:00,BTCUSDT,8,-3.422e-05
295,1742803200000,2025-03-24T08:00:00,BTCUSDT,8,5.512e-05
296,1742774400000,2025-03-24T00:00:00,BTCUSDT,8,2.039e-05
297,1742745600000,2025-03-23T16:00:00,BTCUSDT,8,4.02e-05
298,1742716800000,2025-03-23T08:00:00,BTCUSDT,8,-1.84e-06
299,1742688000000,2025-03-23T00:00:00,BTCUSDT,8,2.099e-05
300,1742659200000,2025-03-22T16:00:00,BTCUSDT,8,5.092e-05
301,1742630400004,2025-03-22T08:00:00,BTCUSDT,8,-1.77e-05
302,1742601600000,2025-03-22T00:00:00,BTCUSDT,8,2.836e-05
303,1742572800000,2025-03-21T16:00:00,BTCUSDT,8,2.518e-05
304,1742544000000,2025-03-21T08:00:00,BTCUSDT,8,5.324e-05
305,1742515200000,2025-03-21T00:00:00,BTCUSDT,8,1.615e-05
306,1742486400000,2025-03-20T16:00:00,BTCUSDT,8,1.086e-05
307,1742457600000,2025-03-20T08:00:00,BTCUSDT,8,3.79e-05
308,1742428800000,2025-03-20T00:00:00,BTCUSDT,8,1.944e-05
309,1742400000000,2025-03-19T16:00:00,BTCUSDT,8,5.024e-05
310,1742371200000,2025-03-19T08:00:00,BTCUSDT,8,5.961e-05
311,1742342400000,2025-03-19T00:00:00,BTCUSDT,8,2e-06
312,1742313600000,2025-03-18T16:00:00,BTCUSDT,8,3.514e-05
313,1742284800000,2025-03-18T08:00:00,BTCUSDT,8,2.059e-05
314,1742256000000,2025-03-18T00:00:00,BTCUSDT,8,7.03e-06
315,1742227200000,2025-03-17T16:00:00,BTCUSDT,8,8.59e-06
316,1742198400000,2025-03-17T08:00:00,BTCUSDT,8,8.474e-05
