timestamp,sum_oi,sum_oi_value
1781650800000,102362.26500000,6729991566.25904750
1781654400000,102414.65100000,6723012609.31957500
1781658000000,102539.55400000,6734736382.98760000
1781661600000,102661.98700000,6765932397.03799800
1781665200000,102818.77400000,6773053310.51865000
1781668800000,102683.21100000,6758465191.52460000
1781672400000,102808.50000000,6770555470.43645900
1781676000000,102916.13000000,6771479981.09300000
1781679600000,102925.71100000,6751103335.10871200
1781683200000,101787.48700000,6667860523.61571000
1781686800000,101746.90100000,6602336056.50980000
1781690400000,101904.58000000,6611769248.90445200
1781694000000,101927.50500000,6601885269.85200000
1781697600000,101920.36100000,6601850615.63060000
1781701200000,102172.33800000,6642131823.41907400
1781704800000,102106.45700000,6663031593.46152400
1781708400000,101986.21600000,6636487842.03840000
1781712000000,101868.73600000,6694274574.96441900
1781715600000,101560.12500000,6685692872.73750000
1781719200000,101294.21400000,6690259164.59705400
1781722800000,99954.47400000,6546268388.44500000
1781726400000,99851.46300000,6419430585.97740000
1781730000000,99470.03200000,6406456933.98880000
1781733600000,99242.09200000,6374362512.21952300
1781737200000,99316.74500000,6382719217.49674600
1781740800000,99312.69200000,6403522307.53102400
1781744400000,99383.60300000,6404362308.98819300
1781748000000,99540.60200000,6422449227.58180000
1781751600000,99596.74500000,6439408167.74716500
1781755200000,100066.35700000,6429763769.03500000
1781758800000,99991.05100000,6385319155.58361600
1781762400000,99989.39300000,6396291473.39210000
1781766000000,100213.22300000,6419806668.78978200
1781769600000,99736.18400000,6430182029.97406800
1781773200000,100187.52500000,6449060965.49750000
1781776800000,100414.93000000,6443897178.41100000
1781780400000,100296.37800000,6423972981.26220000
1781784000000,100539.51500000,6428506643.05150000
1781787600000,100550.38600000,6470173011.86285700
1781791200000,100219.19700000,6409484970.26561100
1781794800000,100431.15100000,6406269675.17336800
1781798400000,99162.91400000,6181348462.50643800
1781802000000,99144.49900000,6212810714.23580000
1781805600000,98880.02700000,6187933487.87134700
1781809200000,99537.57300000,6239613163.73729800
1781812800000,99671.95600000,6271000652.47840000
1781816400000,98699.78900000,6224324533.66480000
1781820000000,98495.27200000,6199314788.09909000
1781823600000,98492.01800000,6190512284.75556500
1781827200000,98609.79700000,6204932727.40770000
1781830800000,98692.76100000,6216824793.08370000
1781834400000,98783.17100000,6222796465.55950000
1781838000000,98879.41100000,6227227896.33521600
1781841600000,98402.03200000,6174255178.24640000
1781845200000,98630.98700000,6156289767.97380000
1781848800000,98378.06200000,6169417417.74224000
1781852400000,98438.76000000,6188530628.95819800
1781856000000,98616.11300000,6172779760.52628800
1781859600000,98726.92000000,6176573314.42400000
1781863200000,99139.58400000,6181721850.87600700
1781866800000,99129.20300000,6196478980.05010600
1781870400000,99089.20500000,6203152670.28750100
1781874000000,99145.99000000,6226341509.63161700
1781877600000,98824.09600000,6244022063.81660900
1781881200000,98675.44900000,6233866830.51400850
1781884800000,98653.35400000,6233865977.91840000
1781888400000,98390.18300000,6192953610.53240000
1781892000000,98529.09400000,6224848380.49439200
1781895600000,98490.73500000,6212716771.21200000
1781899200000,98535.91700000,6207457309.65730000
1781902800000,98450.56400000,6224098597.71502900
1781906400000,98361.27700000,6201481792.29600000
1781910000000,98287.03500000,6220360384.96950000
1781913600000,97664.20800000,6202898010.60000000
1781917200000,97813.53500000,6210856250.54150000
1781920800000,97691.79200000,6208411073.39200000
1781924400000,97661.74500000,6182887432.73955800
1781928000000,97652.66600000,6195859571.87662000
1781931600000,97781.27000000,6214410589.64806900
1781935200000,97945.21700000,6233762514.05180000
1781938800000,98031.54700000,6245860694.25014300
1781942400000,98446.47700000,6263130468.96994700
1781946000000,98452.95800000,6241011769.98640000
1781949600000,98376.70300000,6266507442.06730000
1781953200000,98150.39100000,6247233126.99360000
1781956800000,98120.75300000,6245739151.78468000
1781960400000,98037.74000000,6237915909.39800000
1781964000000,97982.91900000,6209412736.03560000
1781967600000,97784.85000000,6251478851.40927800
1781971200000,98394.04900000,6309616786.17400000
1781974800000,98472.77400000,6301245708.55259500
1781978400000,97675.16200000,6233111160.48140000
1781982000000,97618.66500000,6225767026.50600000
1781985600000,97565.61700000,6234979537.19350000
1781989200000,97467.84500000,6228127068.00850000
1781992800000,97191.13400000,6218605403.65474800
1781996400000,97298.90600000,6251055784.98540000
1782000000000,97540.13500000,6269488531.22853200
1782003600000,98025.95600000,6299637838.58497200
1782007200000,98966.01200000,6356470373.81742000
1782010800000,99065.73300000,6361951840.39350000
1782014400000,98830.98700000,6364705679.70130000
1782018000000,98494.92200000,6328554825.29720000
1782021600000,98694.09600000,6338809977.70992400
1782025200000,98741.38900000,6346099196.89110000
1782028800000,99251.91600000,6369538624.85392500
1782032400000,99600.25800000,6373221308.90400000
1782036000000,100050.89300000,6421896633.36590000
1782039600000,100033.98500000,6435976523.53150000
1782043200000,99859.31700000,6405076451.69700000
1782046800000,99827.13100000,6405237483.19078200
1782050400000,100039.50300000,6414872841.65334700
1782054000000,100122.44800000,6419851365.76000000
1782057600000,99936.26100000,6415937937.07830000
1782061200000,100034.10300000,6414416762.79690000
1782064800000,99978.68700000,6410288217.35968500
1782068400000,99839.36400000,6407690381.52000000
1782072000000,99778.53200000,6403547285.03258700
1782075600000,99608.95500000,6356983742.72700000
1782079200000,99929.46900000,6373670985.68284500
1782082800000,100297.18400000,6396483575.42689800
1782086400000,100266.12600000,6344840299.19803600
1782090000000,100250.24700000,6402517513.54318900
1782093600000,100425.30900000,6485997265.56211400
1782097200000,100411.25100000,6449173664.72760000
1782100800000,99956.84500000,6390992764.73540300
1782104400000,99809.79200000,6394174590.77120000
1782108000000,99729.42800000,6404574001.44600000
1782111600000,99844.78500000,6386560303.24226600
1782115200000,99688.37000000,6398787124.72300000
1782118800000,99615.21100000,6389113871.10356100
