timestamp,datetime,sum_open_interest,sum_open_interest_value,long_short_ratio,top_long_short_account_ratio,top_long_short_position_ratio,taker_long_short_vol_ratio
1783089600000,2026-07-03 14:40:00,109164.57700000,6753995701.33245000,1.6667,1.7988,1.1879,2.4330
1783089900000,2026-07-03 14:45:00,109219.41900000,6775885379.22480000,1.6617,1.7941,1.1910,1.0581
1783090200000,2026-07-03 14:50:00,109242.37000000,6779985678.96900000,1.6596,1.7910,1.1905,1.3974
1783090500000,2026-07-03 14:55:00,109215.06200000,6797859575.64323200,1.6596,1.7863,1.1928,0.5715
1783090800000,2026-07-03 15:00:00,109272.10400000,6790551851.68067400,1.6420,1.7701,1.1928,1.3731
1783091100000,2026-07-03 15:05:00,109385.42100000,6798978618.20272800,1.6399,1.7663,1.1921,1.6266
1783091400000,2026-07-03 15:10:00,109029.79800000,6793498425.74379600,1.6539,1.7724,1.1894,0.8574
1783091700000,2026-07-03 15:15:00,108528.38500000,6747046902.87250000,1.6610,1.7770,1.1767,0.8104
1783092000000,2026-07-03 15:20:00,108384.94800000,6734108558.16720000,1.6575,1.7747,1.1733,0.8164
1783092300000,2026-07-03 15:25:00,108457.31800000,6724201875.75480000,1.6532,1.7732,1.1717,0.8035
1783092600000,2026-07-03 15:30:00,108492.77100000,6724855575.70249400,1.6518,1.7709,1.1705,1.7584
1783092900000,2026-07-03 15:35:00,108421.41400000,6721368718.10200000,1.6546,1.7739,1.1713,0.4449
1783093200000,2026-07-03 15:40:00,108659.44100000,6730811279.24810000,1.6553,1.7747,1.1664,0.4882
1783093500000,2026-07-03 15:45:00,109267.45100000,6755121179.56192400,1.6631,1.7878,1.1491,1.0560
1783093800000,2026-07-03 15:50:00,109388.99100000,6762467769.92581600,1.6717,1.7941,1.1487,2.6617
1783094100000,2026-07-03 15:55:00,109266.34300000,6766825279.77235000,1.6752,1.7980,1.1480,1.3387
1783094400000,2026-07-03 16:00:00,109286.42200000,6764336698.63943800,1.6745,1.7972,1.1478,1.4282
1783094700000,2026-07-03 16:05:00,109299.07100000,6769264333.68223100,1.6717,1.7949,1.1477,1.0066
1783095000000,2026-07-03 16:10:00,109363.20400000,6773063930.55847900,1.6759,1.7972,1.1473,0.7161
1783095300000,2026-07-03 16:15:00,109344.83200000,6768466969.76640000,1.6752,1.7956,1.1474,0.7787
1783095600000,2026-07-03 16:20:00,109364.91900000,6775150257.32963700,1.6752,1.7956,1.1478,2.7511
1783095900000,2026-07-03 16:25:00,109332.45000000,6786105933.54035000,1.6774,1.7972,1.1484,0.8321
1783096200000,2026-07-03 16:30:00,109350.32000000,6784273947.23079200,1.6767,1.7956,1.1480,1.3283
1783096500000,2026-07-03 16:35:00,109298.63800000,6777291576.32980000,1.6731,1.7933,1.1485,1.1838
1783096800000,2026-07-03 16:40:00,109220.54500000,6774175698.69280000,1.6702,1.7910,1.1501,3.0316
1783097100000,2026-07-03 16:45:00,109123.97000000,6768450675.58535300,1.6674,1.7902,1.1524,1.0866
1783097400000,2026-07-03 16:50:00,109010.05200000,6759669720.49920000,1.6645,1.7871,1.1544,1.3896
1783097700000,2026-07-03 16:55:00,108876.93700000,6754515814.54269900,1.6645,1.7863,1.1562,4.3064
1783098000000,2026-07-03 17:00:00,108687.49600000,6746976240.12315900,1.6624,1.7855,1.1608,1.5814
1783098300000,2026-07-03 17:05:00,108528.34300000,6744561276.55481500,1.6624,1.7855,1.1630,1.2616
1783098600000,2026-07-03 17:10:00,108258.60700000,6738925071.97880000,1.6546,1.7762,1.1718,0.3933
1783098900000,2026-07-03 17:15:00,108270.07600000,6731177176.19428500,1.6511,1.7724,1.1695,0.8297
1783099200000,2026-07-03 17:20:00,108270.14600000,6733257281.78172900,1.6490,1.7709,1.1694,0.6998
1783099500000,2026-07-03 17:25:00,108279.29200000,6726313019.63778900,1.6469,1.7685,1.1691,0.5145
1783099800000,2026-07-03 17:30:00,108221.76900000,6727282247.63499800,1.6448,1.7678,1.1683,0.5826
1783100100000,2026-07-03 17:35:00,108246.14200000,6729402857.39920000,1.6427,1.7663,1.1684,1.2464
1783100400000,2026-07-03 17:40:00,108251.18300000,6732574075.50200000,1.6427,1.7655,1.1684,1.9309
1783100700000,2026-07-03 17:45:00,108259.83200000,6734104789.76604100,1.6406,1.7632,1.1680,0.7932
1783101000000,2026-07-03 17:50:00,108254.15600000,6731295479.45490600,1.6385,1.7617,1.1682,0.5640
1783101300000,2026-07-03 17:55:00,108254.06800000,6730317788.66200000,1.6371,1.7601,1.1680,1.0369
1783101600000,2026-07-03 18:00:00,108213.00400000,6727418496.57320000,1.6357,1.7594,1.1681,0.3432
1783101900000,2026-07-03 18:05:00,108245.22300000,6724940144.79870000,1.6295,1.7503,1.1673,1.0316
1783102200000,2026-07-03 18:10:00,108302.72300000,6726660464.98540000,1.6247,1.7465,1.1666,0.6165
1783102500000,2026-07-03 18:15:00,108301.19100000,6729401409.21261400,1.6240,1.7473,1.1664,0.7174
1783102800000,2026-07-03 18:20:00,108317.21200000,6729787277.50719300,1.6233,1.7465,1.1664,1.5844
1783103100000,2026-07-03 18:25:00,108333.97000000,6729987884.72200000,1.6219,1.7450,1.1663,2.3962
1783103400000,2026-07-03 18:30:00,108305.98800000,6731596225.15800000,1.6205,1.7450,1.1663,2.3069
1783103700000,2026-07-03 18:35:00,108230.07600000,6730063617.03969200,1.6205,1.7450,1.1690,1.0911
1783104000000,2026-07-03 18:40:00,108209.66300000,6729391341.66827800,1.6219,1.7465,1.1694,0.6612
1783104300000,2026-07-03 18:45:00,108165.55900000,6727616539.34660000,1.6226,1.7473,1.1680,2.3883
1783104600000,2026-07-03 18:50:00,108150.73000000,6724621064.92202900,1.6205,1.7457,1.1689,1.3757
1783104900000,2026-07-03 18:55:00,108154.58100000,6725514926.09339500,1.6199,1.7450,1.1688,0.3531
1783105200000,2026-07-03 19:00:00,108159.31000000,6725378343.59300000,1.6205,1.7457,1.1666,1.3988
1783105500000,2026-07-03 19:05:00,108120.97400000,6722872440.14822600,1.6212,1.7457,1.1656,0.7264
1783105800000,2026-07-03 19:10:00,108136.32700000,6721635136.36030000,1.6199,1.7442,1.1653,2.0303
1783106100000,2026-07-03 19:15:00,108165.83300000,6723252865.19770000,1.6185,1.7435,1.1643,1.9263
1783106400000,2026-07-03 19:20:00,108172.86500000,6732586948.04823900,1.6185,1.7427,1.1660,0.5875
1783106700000,2026-07-03 19:25:00,108222.28500000,6729943481.69550000,1.6199,1.7442,1.1644,0.6412
1783107000000,2026-07-03 19:30:00,108218.12300000,6730658625.42190000,1.6185,1.7435,1.1636,1.1554
1783107300000,2026-07-03 19:35:00,108428.75800000,6742609787.60260000,1.6199,1.7450,1.1585,2.1485
1783107600000,2026-07-03 19:40:00,108434.39300000,6749359249.79309300,1.6192,1.7435,1.1590,1.1520
1783107900000,2026-07-03 19:45:00,108428.55600000,6744997051.16575700,1.6199,1.7435,1.1595,1.7679
1783108200000,2026-07-03 19:50:00,108392.88200000,6743854538.57026300,1.6164,1.7412,1.1603,0.7034
1783108500000,2026-07-03 19:55:00,108402.62800000,6743254054.32708400,1.6185,1.7420,1.1595,0.3156
